docking_score,smile
-8.2,Cc1nn(CC(=O)N2N=C(C(F)F)C[C@@]2(O)C(F)F)c(C)c1[N+](=O)[O-]
-8.3,COc1cccc(NC(=O)[C@H](C)Oc2ccc(Br)cc2Br)c1
-10.0,CC(C)(C)NS(=O)(=O)c1ccc2-c3c(Cc2c1)cc(S(=O)(=O)NC(C)(C)C)cc3
-8.6,O=C(Cc1c(F)cccc1Cl)N1CCN(c2ccccc2)CC1
-8.0,COc1cc(NS(=O)(=O)c2cc(C(=O)O)ccc2OC)cc(OC)c1
-8.2,COc1ccc(C)cc1S(=O)(=O)N(CC(N)=O)c1ccc(Cl)cc1
-10.3,Cc1cc(C(=O)N2CCN(C(=O)[C@H]3CCCO3)CC2)sc1-c1ccccc1
-10.6,COc1ccc(S(=O)(=O)N(C)c2ccc(C(=O)Nc3cccc([N+](=O)[O-])c3C)cc2)cc1
-8.3,Cc1cccc(N(C(=O)Nc2ccc(Cl)cc2)C2=NC[C@@H](C)S2)n1
-10.1,CC(C)NS(=O)(=O)c1ccc(NC(=S)NC(=O)c2ccc(c3ccccc3)cc2)cc1
-8.4,CCCN1c2ccc(Br)cc2[C@](O)([C@@H](C)C(=O)c2ccc(Cl)cc2)C1=O
-7.5,O=C1/C(=C/c2ccccn2)SC(=S)N1Cc1ccco1
-8.4,O=C(C1CCN([C@@H]2CC(=O)NC2=O)CC1)N1CCCCC1
-9.2,Cc1ccc(S(=O)(=O)NC[C@@H](Nc2cccc(Cl)c2)c2ccccc2)cc1
-9.5,Cc1ccc(NC(=O)CN(c2ccc(F)c(Cl)c2)S(C)(=O)=O)cc1
-9.7,CCN(CC(=O)Nc1ccccc1Sc1ccccc1)S(=O)(=O)c1ccc(C)cc1
-9.7,Cn1c(SC(c2ccccc2)c2ccccc2)nc2c1c(=O)n(C)c(=O)n2C
-8.7,COc1cccc(=O)c2c(C)n(c3ccc(I)cc3)c(C)c12
-8.8,C[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccc(Cl)c(Br)c1
