docking_score,smile
-6.1,Cc1nonc1NCn1cnc2c1c(=O)n(C)c(=O)n2C
-5.6,Nc1c(-c2ccccc2)nc2ccccn12
-6.2,COC(=O)C1=C(C)NC(=O)N[C@H]1c1cc(Cl)cc2c1OCOC2
-5.5,COc1ccc(S(=O)(=O)n2ccnc2)c2cccnc12
-6.1,O=C(Nc1ccccc1C(=O)N1CCCCCC1)c1ccc(F)cc1
-5.8,CCOc1cc2c(cc1OCC)[C@H]([C@H]1CC=CCC1)NCC2
-6.3,Nn1c(COc2ccc(Cl)cc2)nc2ccccc2c1=O
-6.4,CC(=O)c1c(C)nc(c2ccc(OCc3ccccc3F)cc2)n1O
-6.3,O=c1[nH]nc2nc(N3CCCCC3)nc(N3CCCCC3)n21
-6.5,O=[N+]([O-])c1ccc(-c2nnn(CNc3ccc(Cl)cc3)n2)cc1
-6.2,CC1=CC=CN2C(=NC(C(F)(F)F)(C(F)(F)F)N=C12)c1ccco1
-6.6,Cc1ccc(C(=O)CSc2nnc3sc4ccccc4n23)cc1
-7.0,O=S(=O)(c1cccc2ccccc21)n1cnc2ccccc21
-6.2,COC(=O)c1ccc2nc(NC(=O)CN3C(=O)CCC3=O)sc2c1
-6.3,COc1ccccc1N1C(=O)c2ccc(NC(C)=O)cc2C1=O
-5.9,Cc1ccc(NC(=O)[C@@H]2CC=CC[C@H]2C(=O)OC[C@@H]2CCCO2)cc1
-6.2,COC(=O)c1ccc(OCc2ccc(Cl)cc2)cc1
-6.1,COc1ccc([C@H]2NC(=O)c3ccccc3O2)cc1OC
-5.9,COc1ccc(C(=O)NCc2ccc(Cl)cc2)cc1OC
-6.1,O=C(Nc1nc(c2ccccc2)cs1)Oc1ccccc1
-6.2,CC(C)(C)[C@@]1(O)CC(C(F)(F)F)=NN1C(=O)c1ccccc1F
-5.7,CCSc1nc2ccccc2n1Cc1ccc(OC)c([N+](=O)[O-])c1
-6.1,CN(C)c1nc2nonc2nc1Nc1cccc(Cl)c1
-6.4,O=C(O)c1ccc(CSc2nnnn2C2CCCCC2)cc1
-6.9,CC(=O)c1ccc2c3c1cccc3C(=O)N(c1c(C)nn(C)c1C)C2=O
-5.0,Cc1[nH]c2ccc(I)cc2c1CCN
-5.7,COc1ccc(C)cc1Cn1cnc([N+](=O)[O-])n1
-5.8,Cc1c(C)n(C)c2c1ccc1c(=O)cc(C)[nH]c21
-6.1,CCOC(=O)c1ccc(c2nnc(c3ccccc3OC)o2)cc1
-5.4,CCOC(=O)C1=C(N)Oc2cc(O)ccc2[C@H]1C(C)C
-5.8,COC(=O)c1cc(N2CCNCC2)nc2ccccc21
-5.5,Nc1ncnc2c1ncn2[C@H]1C=C[C@H](CO)O1
-6.3,COc1ccc([C@H]2Oc3ccccc3C=C2[N+](=O)[O-])cc1O
-5.4,O=C(O)Cc1csc2nc(-c3ccccc3)cn12
-6.2,Cc1ccc(N2C(=O)CCS[C@]23c2ccccc2NC3=O)cc1
-6.3,O=C(O)CSc1nc(SCc2ccccc2)nc2ccccc12
-5.8,Nc1ncnc2[nH]c(SCc3ccccc3Cl)nc21
-6.1,Cc1ccc(NC(=O)CSc2nc3c(ncnc3N)[nH]2)cc1
-6.0,Cc1c(Cl)cccc1N1C[C@@H](C(=O)Nc2nccs2)CC1=O
-5.6,Cc1cc(C)nc(SCC(=O)Nc2ncccn2)n1
-6.2,CCN1CCN(c2ccc(Nc3ccnc4ccccc34)cc2)CC1
-5.6,Cc1cc(C)c(NC(=O)CCC(=O)O)c(Cl)c1
-5.6,O=C(O)C[C@@H]1NC(=S)N(Cc2ccccc2)C1=O
-5.8,O=C(CSc1nc2ccccc2o1)NC1=NC(=O)CS1
-5.7,O=C1CCCC[C@H]1Sc1nc2ccccc2o1
-5.8,O=C(CSC1=NCCS1)Nc1ccc(OC(F)(F)F)cc1
-5.8,O=C(CSc1nc2cc(Cl)ccc2s1)NC[C@@H]1CCCO1
-5.7,CCOC(=O)c1ccc(N2C(=O)C[C@@H]([C@@H]3CCCO3)C2=O)cc1
-6.0,CCCC(=O)N1CCN(c2cc(C)c(C(C)=O)cc2F)CC1
-6.4,CCOc1cc2c(cc1OCC)[C@H](c1cc(C)ccc1C)NCC2
-5.4,CCOc1cc2c(cc1OCC)[C@@H](c1ccccc1C)NCC2
-5.8,COc1cc2c(cc1OC)[C@@H](C)N(S(=O)(=O)c1ccccc1)CC2
-6.7,O=C(NCCc1ccccc1)c1cc2c([nH]c1=O)CCCC2
-6.2,COc1ccc([C@H]2SCC(=O)N2C[C@@H](O)c2ccccc2)cc1
-5.9,S=C(NC[C@H]1COc2ccccc2O1)NC1CCCCC1
-5.3,COC(=O)c1nnn(-c2nonc2N)c1C(C)(C)C
-6.6,Cc1ccccc1C(O)(C(=O)Nc1cccc[n+]1[O-])c1ccccc1C
-5.9,COc1ccc(C(=O)c2nc3ccccc3n2C(C)C)cc1OC
-5.5,CC1(C)C(=O)O[C@@H](c2ccc(Cl)cc2Cl)C(C)(C)C1=O
-6.0,CCOc1ccc([C@@H]2NCCc3cc(OC)c(OC)cc32)cc1
-6.4,O=c1oc2ccc([N+](=O)[O-])cc2cc1c1nc2ccccc2o1
-6.7,COc1cccc2cc(-c3ccc([N+](=O)[O-])cc3)c(=O)oc21
-6.6,Cc1ccc(N2C(=O)c3ccccc3NC2(C)C)cc1Cl
-5.2,CC(=O)c1cc(F)c(N2CCN(C)CC2)cc1C
-6.3,CC(=O)c1ccc(N2CCN(C(=O)c3cccc(F)c3)CC2)c(F)c1
-5.8,O=C1c2ccccc2N[C@H](c2ccncc2)N1c1ccccn1
-5.6,COc1ccc(-c2nn(C)c3ccccc32)cc1
-6.4,COc1ccc(/C=N/NC(=O)COc2ccccc2C(=O)O)cc1
-6.1,O=C(NCc1ccc([N+](=O)[O-])cc1)c1nc2ccccc2[nH]1
-6.4,O=C(Cc1ccccc1)Sc1nc2ccccc2[nH]1
-6.0,O=C(Nc1cccnc1)c1ccc(C(=O)Nc2cccnc2)nc1
-5.1,O=C1CCC(=O)N1OC[C@@H]1CCCN2CCCC[C@H]12
-6.5,O=C(O)c1cc(c2ccccc2Cl)nc2ccccc12
-6.2,O=C(Nc1ccc(F)c(F)c1)c1ccc2c(c1)OCO2
-5.9,Cc1ccc(NC(=O)c2ccc3c(c2)OCO3)cc1Cl
